Image	Parameter	Assessment	exclude_seg	stuck_pixel	genotype	Comment
595			"5,6,23,45,48,36,40,25,28"		fca1 ActD 6h	
596			"40,51,47,3"		fca1 ActD 6h	
597			16		fca1 ActD 6h	
598			"11,14,5,12,17,37,46,43,7"		fca1 ActD 6h	
599			28		fca1 ActD 6h	
600	5		"11,5,9,26,23,27,55,49,74"		fca1 ActD 6h	"still really strong signal, does not look like ActD "
601			"34,31,29,32"		fca1 ActD 6h	
602			"20,21,11,33,26"		fca1 ActD 6h	
603	5		"24,28,40,46"		fca1 ActD 6h	pretty good but sloghtly undercounting
604	6		"69,39"		fca1 DMSO 6h	
605			"54,74,72"		fca1 DMSO 6h	
606			29		fca1 DMSO 6h	
607	6		"36,51,44,50,9,11,13"		fca1 DMSO 6h	
608			"12,10,13,18,17,8"		fca1 DMSO 6h	
609			"51,50"		fca1 DMSO 6h	
610			"5,54,64,63,30,22,24"		fca1 DMSO 6h	
611			"5,4,40,48,55,86"		fca1 DMSO 6h	
612	6		"56,28"		fca1 DMSO 6h	
613			"22,20,21,17,29"		fca1 DMSO 6h	
614					fca3 ActD 6h	
615			23		fca3 ActD 6h	
616			"1,23,41,37,31,33,46,57"		fca3 ActD 6h	
617	6		"18,26,24,47,48,31,18,9"		fca3 ActD 6h	x not sure there is any real signal here
618			2		fca3 ActD 6h	
619			"3,8,29,26,30,31,33,32"		fca3 ActD 6h	
620			"25,27"		fca3 ActD 6h	
621			"8,12,7,24,51,60,54,66,70"		fca3 ActD 6h	
622			"14,51,68,73,64,32,33"		fca3 ActD 6h	
623			"50,52"		fca3 ActD 6h	
624			"71,75"		fca3 ActD 6h	
625	6		"4,3"		fca3 ActD 6h	x
626			"53,47,49,54,17"		fca3 ActD 6h	
627			"15,28"		fca3 DMSO 4h	
628			"38,54,55,51,40,43,12,14,18,13,7,9,36,39"		fca3 DMSO 4h	
629	6		"7,37,38,39"		fca3 DMSO 4h	x
630			"6,28,29"		fca3 DMSO 4h	
631			"38,36,37,38"		fca3 DMSO 4h	
632			"28,32"		fca3 DMSO 4h	
633			"4,9,38,34,31,37,41"		fca3 DMSO 4h	
634			"23,24,19,7,30,29,"		fca3 DMSO 4h	
635			"24,7"		fca3 DMSO 4h	
636			"8,11,40"		fca3 DMSO 4h	
637			"54,12,17,43,39,32,31"		fca3 DMSO 4h	
